
172.27.2.182,-,-,[05/Jan/2026:03:41:59,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
172.27.6.16,-,-,[05/Jan/2026:03:41:59,+0000],"""GET",/NMSAPI/vsats/status?showAll=true,"HTTP/1.1""",200,36725,"""-""","""Python-urllib/2.6"""
172.27.2.181,-,-,[05/Jan/2026:03:42:02,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
fd0d:edc3:ffff:6:172:27:6:15,-,-,[05/Jan/2026:03:42:05,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.6.15,-,-,[05/Jan/2026:03:42:05,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.6.16,-,-,[05/Jan/2026:03:42:06,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
fd0d:edc3:ffff:6:172:27:6:16,-,-,[05/Jan/2026:03:42:06,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.6.16,-,-,[05/Jan/2026:03:42:07,+0000],"""GET",/NMSAPI/vsats/countByStatus?showAll=true,"HTTP/1.1""",200,167,"""-""","""-"""
172.27.2.182,-,-,[05/Jan/2026:03:42:09,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
172.27.2.181,-,-,[05/Jan/2026:03:42:12,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
172.27.6.15,-,-,[05/Jan/2026:03:42:15,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
fd0d:edc3:ffff:6:172:27:6:15,-,-,[05/Jan/2026:03:42:15,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.6.16,-,-,[05/Jan/2026:03:42:16,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
fd0d:edc3:ffff:6:172:27:6:16,-,-,[05/Jan/2026:03:42:16,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.2.182,-,-,[05/Jan/2026:03:42:19,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
172.27.2.181,-,-,[05/Jan/2026:03:42:22,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
172.27.6.15,-,-,[05/Jan/2026:03:42:25,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
fd0d:edc3:ffff:6:172:27:6:15,-,-,[05/Jan/2026:03:42:25,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
fd0d:edc3:ffff:6:172:27:6:16,-,-,[05/Jan/2026:03:42:26,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.6.16,-,-,[05/Jan/2026:03:42:26,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.2.182,-,-,[05/Jan/2026:03:42:29,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
172.27.2.181,-,-,[05/Jan/2026:03:42:32,+0000],"""STATUS",/,"HTTP/1.1""",200,72,"""-""","""ClusterListener/1.0"""
fd0d:edc3:ffff:6:172:27:6:15,-,-,[05/Jan/2026:03:42:35,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
172.27.6.15,-,-,[05/Jan/2026:03:42:35,+0000],"""HEAD",/,"HTTP/1.0""",200,-,"""-""","""-"""
